,title,price,colour,description,category,brand
800,culottes with tabs details,69.9,black,"high waist culottes with side pockets and back patch pockets. featuring darts and tabs on the front, frayed hems and zip fly and metal top button fastening.",jeans,zara
801,bomber jacket with elastic hem details,89.9,natural,"bomber jacket with a round neck and long puff sleeves with elastic cuffs. features front welt pockets, elastic hems and fastened at the front with buttons.",outerwear,zara
802,mozart print t shirt details,39.9,grey,short sleeve t shirt with a round neckline and a contrast print on the front featuring wolfgang amadeus mozart. ,tops,zara
803,blazer with belt details,179.0,pearl grey,"blazer made of a wool blend. featuring a lapel collar, long sleeves, front welt pocket, jetted pockets at the waist, button fastening and a matching belt.",outerwear,zara
804,faux suede hoodie details,69.9,pale pink,"hoodie with an adjustable drawstring hood and long sleeves. featuring a front pouch pocket, elastic trims and metal zip fastening at the front. ",outerwear,zara
805,animal print leggings details,45.9,ecru / black,high waist leggings with an elastic waistband. ,bottoms,zara
806,polka dot mini skirt with bow details,69.9,aubergine,mini skirt with front bow and invisible back zip fastening. ,skirts,zara
807,ruffled knit dress details,119.0,pastel yellow,long sleeveless dress with a v neckline and matching ruffle trims.,outerwear,zara
808,oversized sweatshirt details,45.9,coral,oversized hoodie with adjustable hood and long sleeves. ,outerwear,zara
809,leggings with zips details,45.9,black,high waisted leggings with fake pockets and front zip fastening. featuring defined seams and front metal zip fastener. ,bottoms,zara
810,sweater with contrasting lace details,69.9,ecru,knit sweater with a round neckline and long sleeves. featuring matching lace trim on the chest.,outerwear,zara
811,sweater with contrast collar details,49.9,anthracite grey,long sleeve knit sweater with a high neck and contrast blonde lace appliqué detail. ,outerwear,zara
812,high neck puffer coat details,119.0,pink,coat with a high neck and long sleeves. featuring front welt pockets and front fastening with snap buttons hidden by a placket. ,outerwear,zara
813,combined midi skirt details,69.9,light brown,midi skirt with a side zip. featuring a vent with matching fabric detail.,skirts,zara
814,semi sheer dress details,49.9,maroon,long lined dress featuring a high neck and short sleeves.,dresses,zara
815,metallic thread sweatshirt details,45.9,black / silver,"sweatshirt with a round neckline, long sleeves and puff shoulders.",outerwear,zara
816,sequin camisole dress details,89.9,navy blue,"strappy dress with a draped neckline, sequin appliqués and an asymmetric hem with a side slit.",dresses,zara
817,check jogger waist trousers details,49.9,black / ecru,"mid waist skinny trousers with an elastic waistband in the back. front pockets, false rear welt pockets, side vents at the hems and metal hook and zip fastening in the front.",bottoms,zara
818,long denim shirt details,89.9,blue,"collared shirt with long sleeves. featuring a chest patch pocket, side vents at the hem and contrast buttons down the front.",tops,zara
819,cropped trousers with darts details,49.9,grey,"high waist trousers with side pockets, false rear welt pockets, front darts, belt with buckle in matching fabric and zip fly and front metal hook fastening.",bottoms,zara
820,blazer with flap pockets details,179.0,intense red,"long sleeve blazer with a lapel collar. featuring defined shoulders, front flap pockets and a back vent. contrast button fastening at the front.",outerwear,zara
821,midi dress with belt details,89.9,natural,"a line dress made of a linen blend fabric featuring a v neck collar, short sleeves and contrast belt detail.",dresses,zara
822,jogger waist trousers details,49.9,blue,"mid waist skinny trousers with an elastic waistband in the back. front pockets, false rear welt pockets, side vents at the hems and metal hook and zip fastening in the front.",bottoms,zara
823,mini dress with knot details,139.0,navy blue,short dress featuring a high neck with knot detail and long puff sleeves. fastening on the front with belt and on the back with invisible zip and buttons. ,dresses,zara
824,voluminous organza dress details,69.9,black,"round neck semi sheer dress with short sleeves. featuring a belt detail in matching fabric, interior lining and button fastening in the back with an opening.",dresses,zara
825,gem button shirt details,49.9,white,"cropped shirt with collar, short puff sleeves, ruffle trims and a button up front with gem buttons.",tops,zara
826,top with organza sleeves details,59.9,black,round neck top featuring matching long sleeves with elastic cuffs and a buttoned opening in the back. ,tops,zara
827,bambi © disney hoodie details,59.9,charcoal,sweatshirt with a round neckline and long sleeves. featuring a front print from the film bambi © disney.,outerwear,zara
828,pointelle camisole top details,29.9,black,v neck top with lace trim and thin straps.,tops,zara
829,loose fitting textured dress details,69.9,black,"oversized short dress with a round neckline and sleeves falling below the elbow with elastic cuffs. featuring floral details in matching fabric, lining and a buttoned opening at the back.",dresses,zara
830,printed dress details,89.9,black,"round neck midi dress featuring long sleeves ending in ruffled elasticated cuffs, pleated detailing and button fastening at the back with an opening.",dresses,zara
831,sequinned miniskirt details,59.9,only one,"high waist mini skirt with an elastic waistband. featuring front tied detail, multicoloured sequin appliqués and side zip fastening.",skirts,zara
832,floral print skirt details,69.9,multicoloured,flowing skirt with decorative covered buttons on the front. featuring a front and back vent and invisible side zip fastening. ,skirts,zara
833,buttoned waistcoat with belt details,89.9,black,"sleeveless waistcoat with a lapel collar, front patch pockets, a belt appliqué in the same fabric and double breasted fastening with buttons. ",outerwear,zara
834,houndstooth blazer details,69.9,grey,round neck blazer with long sleeves and defined shoulders. featuring front flap pockets and button fastening in the front.,outerwear,zara
835,cut out top details,45.9,black,turtleneck top with long sleeves and a cut out front and back. ,outerwear,zara
836,textured pencil skirt details,89.9,black,"tailored skirt with front patch pockets, a front slit at the hem and button fastening down the front.",skirts,zara
837,buttoned coat details,229.0,pink,"long sleeve coat with a lapel collar. featuring front welt pockets, a back vent with an adjustable tab and button fastening at the front. ",outerwear,zara
838,top with contrasting embroidery details,45.9,white,combined sleeveless top with a round neckline. featuring a contrast front print and matching embroidery trims. ,tops,zara
839,oversized denim shirt details,69.9,blue,oversized collared shirt with long puff sleeves. featuring side in seam pockets and snap button fastening at the front hidden by a placket.,tops,zara
840,jeans zw premium petit slouchy details,69.9,black,the petit slouchy in smoke black.,jeans,zara
841,floral print bermuda skort details,49.9,multicoloured,short bermuda skort with a ruffled hem and invisible side zip fastening. ,skirts,zara
842,sequin mini dress details,89.9,bluish,short dress with a v neckline and short ruffled sleeves. ,dresses,zara
843,floral print dress details,69.9,red,"flowing a line dress featuring a v neckline, wide straps with adjustable bow, lining and back zip fastening hidden in the seam. ",dresses,zara
844,top with cut out detail details,59.9,black,semi sheer round neck top. featuring long sleeves with gathered details and a pleated cut out detail on the front. ,outerwear,zara
845,bodysuit with shoulder pads details,39.9,black,"sleeveless bodysuit with a round neckline, shoulder pads and snap button fastening on the bottom. ",tops,zara
846,asymmetric top details,45.9,anthracite grey,"knit top with an asymmetric neckline, long sleeves and gathering on the sides.",outerwear,zara
847,draped top details,69.9,black,"flowing top with a cowl neck, long sleeves with elasticated cuffs, and an asymmetric hem.",tops,zara
848,hi rise ripped denim shorts details,45.9,blue,"hi rise shorts with a five pocket design. featuring ripped details in the front, frayed hems and zip fly and metal top button fastening.",skirts,zara
849,metallic skort details,59.9,silver,skort with a metallic effect. featuring a ruffled hem and invisible side zip fastening. ,skirts,zara
850,high neck sweater details,59.9,grey,sleeveless knit sweater with a high neck and side vents at the hem. ,outerwear,zara
851,puffer gilet with zips details,89.9,khaki,"longline gilet with a high neck and adjustable drawstring hood. featuring side welt pockets, side zips at the hem and a zip up front hidden by snap button placket.",outerwear,zara
852,water repellent hooded parka details,89.9,khaki,parka with a high neck and adjustable hood. front patch pockets. asymmetric hem with side vents. front zip and snap button fastening. ,outerwear,zara
853,pleated plumetis blouse details,59.9,black,high neck blouse with sleeves that reach below the elbow and a buttoned opening at the front.,tops,zara
854,metallic thread trousers details,49.9,black,flowing high waist trousers with an elastic waist and contrast metallic thread detailing. ,bottoms,zara
855,striped poplin shirt details,69.9,blue,"long sleeve shirt with ruffled round neckline. featuring a gathered detail at the back, an asymmetric hem and button fastening at the back with an opening. ",tops,zara
856,taffeta skirt details,49.9,brown,high waist midi skirt with side zip and gathered detail.,skirts,zara
857,polka dot embroidered dress details,69.9,black / ecru,flowing v neck dress with long sleeves. featuring contrast embroidered polka dots and a ruffled hem. ,dresses,zara
858,baggy jeans details,69.9,light blue,"high waist jeans with an elastic waistband. featuring front pockets, decorative back welt pockets, cuffed elastic hems and zip fly and metal top button fastening. ",jeans,zara
859,coat with shawl collar details,229.0,bottle green,"coat with a shawl collar and long sleeves. featuring front flap pockets, a back vent and front fastening with contrast buttons.",outerwear,zara
860,oversized t shirt with pocket details,29.9,white,wide short sleeve t shirt with a round neckline and a front patch pocket.,tops,zara
861,floral print dress details,69.9,multicoloured,"flowing dress with a round neckline, sleeves falling below the elbow, pronounced shoulders, elastic waist and a buttoned opening on the back. ",dresses,zara
862,animal print blouse details,49.9,leopard,blouse with a round neckline and long sleeves. fastening with a buttoned opening at the back.,tops,zara
863,mohair and wool sweater details,119.0,light grey,knit sweater made of a mohair and wool blend. featuring a v neckline and long puff sleeves.,outerwear,zara
864,printed top details,49.9,black,"top featuring a straight neckline, short puff sleeves with elastic trim, smocked fabric at the back, a ruffled hem, front buttons and invisible side zip fastening.",tops,zara
865,satin camisole dress details,59.9,black,satin dress with a v neckline adjustable thin straps.,dresses,zara
866,pleated t shirt details,45.9,black,"semi sheer t shirt featuring a round neckline, long sleeves with pronounced shoulders and elastic detail on the cuffs and hem.",tops,zara
867,faux suede bermuda skort details,45.9,black,high waist bermuda skort with an asymmetric wrap style front. featuring a tie detail on the side and invisible side zip fastening.,skirts,zara
868,combined dress details,199.0,mustard,"dress featuring a high collar with tied detail, long sleeves with pronounced shoulders, a pleated hem and wrap fastening with buttons. ",dresses,zara
869,knit cardigan details,69.9,grey,chunky knit cardigan with long sleeves.,outerwear,zara
870,floral print dress details,89.9,only one,v neck midi dress with sleeves reaching just below the elbow with a bow detail.,dresses,zara
871,frilled t shirt details,39.9,oyster white,v neck t shirt with short sleeves and ruffle trims. ,tops,zara
872,shirt with pockets details,49.9,grey marl,v neck high collar shirt with long sleeves and adjustable sleeve tabs. featuring patch chest pockets and an asymmetric hem with side vents. front button fastening. ,tops,zara
873,slogan t shirt details,29.9,white,short sleeve t shirt with a round neckline. featuring a contrast front print with a slogan. ,tops,zara
874,semi sheer dotted mesh blouse details,69.9,black,"blouse with a ruffled high collar, long sleeves, pleats and perforated embroidery detail at the front and a buttoned opening at the back.",tops,zara
875,buttoned blazer details,159.0,toffee,"blazer with long sleeves and a lapel collar. featuring front flap pockets, welt pockets at the chest and double breasted button fastening in the front. ",outerwear,zara
876,glossy blouse details,59.9,oyster white,"blouse with a round neckline, long sleeves, matching gathered trim and a buttoned opening in the back.",tops,zara
877,beaded knit sweater details,69.9,grey,sweater with a round neckline and long sleeves. featuring contrast bead appliqués.,outerwear,zara
878,the easy pant check trousers details,69.9,dark tan,"high waist trousers with an elasticated waist and adjustable drawstrings. featuring side pockets, false welt pockets at the back and a side vent detail at the hem.",bottoms,zara
879,long ruffled shirt details,59.9,mid-grey,"long loose fitting shirt featuring a v neckline, long sleeves, puff shoulders, ruffle trims and a button up front.",tops,zara
880,striped belted dress details,69.9,leopard,"sleeveless midi dress with a round neckline. featuring side pockets, a belt in the same fabric and button fastening in the front.",dresses,zara
881,ribbed t shirt details,11.9,grey marl,sleeveless round neck top. ,tops,zara
882,cashmere sweater details,179.0,blue / grey,"knit cashmere sweater with a round neckline, long sleeves and ribbed trims. ",outerwear,zara
883,sweater with open knit sleeves details,59.9,white,knit sweater featuring a high neck and long sleeves with open knit detail. ,outerwear,zara
884,embroidered shirt details,59.9,black,semi sheer shirt with a lapel collar and long sleeves. featuring a matching appliqué and front button fastening.,tops,zara
885,corduroy slouchy trousers details,69.9,ecru,high waist trousers with front pockets and rear patch pockets. featuring belt loops and zip fly and top button fastening. ,bottoms,zara
886,cable knit sweater details,69.9,grey,sleeveless sweater with a high neck.,outerwear,zara
887,frilled blouse details,45.9,white,sleeveless blouse with a wide high neck. featuring a ruffled hem and a buttoned opening at the back. ,tops,zara
888,printed mini dress details,89.9,multicoloured,"dress featuring a round neckline, long sleeves with gathering, an asymmetric hem and back fastening with an invisible zip and buttoned opening.",dresses,zara
889,oversized corduroy jacket details,69.9,ice,"oversized collared jacket featuring long puff sleeves, front patch pockets with flaps, pleat detailing on the sleeves and back, a frayed hem and fastening at the front with metal buttons. ",outerwear,zara
890,linen blazer with pockets details,139.0,light mink,lapel collar blazer with rolled up sleeves reaching below the elbow and front flap pockets. ,outerwear,zara
891,contrast sleeve sweater details,49.9,ecru,"knit sweater with a high neck, contrasting long sleeves, wide cuffs and ribbed trims. ",outerwear,zara
892,metallic blazer with tie belt details,119.0,black gold,v neck blazer featuring gathered long sleeves and a decorative tie belt. ,outerwear,zara
893,multicoloured striped dress details,89.9,only one,"round neck midi dress with sleeves falling below the elbow. featuring a belt in matching fabric, a buttoned opening at the back and invisible side zip fastening.",dresses,zara
894,denim paperbag bermuda shorts details,45.9,ecru,"high waist bermuda shorts with an elastic paperbag waist. featuring side pockets, back patch pockets, turn up hems, belt in the same fabric and zip fly and button fastening.",skirts,zara
895,baggy trousers details,59.9,sand,"high waist bermuda trousers with an elastic waistband. featuring front patch pockets, back pockets with flaps, and belt loops, front zip fly and metal top button fastening. ",jeans,zara
896,jeans z1975 gathered waist details,59.9,black,"high waist skinny jeans featuring front pockets, rear patch pockets, gathered detail at the waist, contrast topstitching and zip fly and metal top button fastening.",jeans,zara
897,high neck coat with belt details,199.0,fuchsia,"high neck coat made of a wool blend. featuring long sleeves, front welt pockets, contrast interior lining and a matching belt. button fastening at the front. ",outerwear,zara
898,inverted lapel collar frock coat details,119.0,black / white,"frock coat with a high collar, long sleeves and square shoulders. featuring front pockets and snap button fastening at the front.",outerwear,zara
899,flowing trousers details,69.9,black,mid waist trousers with an elastic drawstring waistband. featuring front pockets and rear welt pockets. ,bottoms,zara
900,zip up sweatshirt details,59.9,ecru,loose fitting sweatshirt with an adjustable hood and long sleeves. featuring side pockets and zip up fastening.,outerwear,zara
901,ruffled skort details,45.9,black,high waist skort with a front ruffle trim and side zip fastening.,skirts,zara
902,voluminous printed shirt details,45.9,brown,"loose fitting shirt. featuring a lapel collar, v neck, short sleeves with shoulder pleats and button up front.",tops,zara
903,rustic jumpsuit with pockets details,59.9,beige marl,sleeveless jumpsuit with a round neckline. featuring front patch pockets and front button fastening. ,dresses,zara
904,stretch top details,19.9,mustard,t shirt featuring a round neckline and short puff sleeves with elastic trim.,tops,zara
905,v neck t shirt details,11.9,oyster white,short sleeve t shirt with a v neckline.,tops,zara
906,surplice t shirt details,45.9,black,round neck t shirt with long sleeves and elastic cuffs.,tops,zara
907,denim top with puff sleeves details,59.9,light blue,cropped top with a round neckline and 3/4 length puff sleeves. featuring decorative darts and metal zip fastening at the back.,tops,zara
908,sequinned organza jumpsuit details,159.0,dark pink,"jumpsuit featuring a v neckline, long sleeves with puff shoulders and invisible zip fastening on the back.",dresses,zara
909,dress with bows details,59.9,oyster white,v neck dress with short ruffled sleeves. featuring a stretch waist detail with matching bows and a buttoned opening in the back. ,dresses,zara
910,belted coat details,179.0,toffee,"long sleeve coat with lapel collar, front welt pockets and a belt made of matching fabric. ",outerwear,zara
911,satin finish midi skirt details,89.9,purple,flowing a line skirt with invisible side zip fastening.,skirts,zara
912,floral print top details,59.9,multicoloured,"crop top with a lapel collar, long sleeves, pronounced shoulders and flared hem. fastening with matching covered buttons.",tops,zara
913,long wool cardigan details,89.9,beige,"knit cardigan made of a wool blend. featuring a round neckline, long sleeves and front patch pockets.",outerwear,zara
914,midi dress with elastic detail details,69.9,black,"long sleeve dress with a high neck, an elasticated waist and smocked details. ",outerwear,zara
915,ruffled polka dot playsuit details,69.9,black,"flowing v neck playsuit with short sleeves. featuring darts on the chest, a ruffled hem and invisible back zip fastening with an opening and button. ",dresses,zara
916,sweatshirt with contrast pleating details,59.9,ecru,"loose fitting sweatshirt with a round neckline, long puff sleeves with elastic cuffs and contrast pleated fabric on the back.",outerwear,zara
917,the triumph of galatea print t shirt details,39.9,light blue,short sleeve t shirt with a round neckline and a contrast front print detail. ,tops,zara
918,printed shirt dress details,89.9,black,"long flowing dress with a collar and long sleeves. featuring tied detail at the waist, side slits at the hem and front button fastening.",dresses,zara
919,double breasted blazer with shawl collar details,119.0,intense red,"blazer with contrast lapel collar, long sleeves, front flap pockets and double breasted fastening with lined buttons. ",outerwear,zara
920,cropped shirt with knot details,59.9,black / white,"collared shirt with sleeves that reach below the elbow, elastic cuffs, knotted hems and elastic at the back. fastened at the front with concealed buttons under a flap.",tops,zara
921,tweed bow shirt details,59.9,ecru,"flowing shirt with regular collar, long sleeves, contrast bow detail and button up fastening hidden by a placket. ",tops,zara
922,textured sweater with shimmer thread details,59.9,coral,"loose fitting sweater with a round neckline, short sleeves, metallic thread detail and frayed edges.",outerwear,zara
923,animal print bermuda shorts details,59.9,snake,"flowing bermuda shorts with an inner elastic waistband, in seam side pockets and tied belt in the same fabric. ",skirts,zara
924,metallic thread bodysuit details,39.9,black,"bodysuit with a plunging neckline on the front and back. featuring long sleeves, a metallic thread detail and snap button fastening at the bottom. ",tops,zara
925,long poplin shirt details,69.9,caramel,"collared long sleeve shirt featuring adjustable drawstrings at the front of the waist, an asymmetric hem with side vents, and a button up front.",tops,zara
926,lace top details,45.9,black,round neck dress with ruffle trim on the cap sleeves. featuring matching interior lining and a buttoned opening in the back.,tops,zara
927,shirt dress with pockets details,69.9,black,"collared dress with long sleeves. featuring an adjustable elastic waist detail, side in seam pockets, patch pockets with flaps on the chest and button fastening at the front. ",dresses,zara
928,combined dress details,45.9,mid-camel,"dress with a round neckline, long sleeves and combined fabric detail.",dresses,zara
929,printed organza top details,49.9,black,"semi sheer top with a round neckline and short puff sleeves. featuring a ruffled hem, lining and button fastening with an opening in the back.",tops,zara
930,dotted mesh blouse with bow details,49.9,black,round neck blouse with long sleeves. featuring puff shoulders with matching bow appliqué and a buttoned opening at the back.,tops,zara
931,jules trousers with belt details,69.9,blue,"high waist trousers with front pockets and side patch pockets with flaps. featuring front darts, a belt in matching fabric, adjustable hems with metal d ring buckles, and metal zip and snap button fastening at the front. ",bottoms,zara
932,velvet dress with fringed shoulder pads details,69.9,black,"v neck dress with long sleeves and pronounced shoulders. featuring elastic detail at the waist, matching fringe and sequin appliqués on the shoulders and gathering on the front of the hem. ",dresses,zara
933,poplin trousers details,119.0,beige,high waist trousers with an elastic waistband. featuring adjustable drawstrings and side in seam pockets. ,bottoms,zara
934,sweatshirt with floral sleeve detail details,49.9,charcoal grey,round neck sweatshirt with long puff sleeves. featuring a soft touch interior detail and a contrast rubberised print on the sleeves. ,outerwear,zara
935,creased effect top details,59.9,light camel,round neck top with long puff sleeves and invisible zip fastening at the back.,tops,zara
936,embroidered contrast sweater details,69.9,brown,"high neck sweater with contrast embroidered trim, long sleeves and a ribbed finish. ",outerwear,zara
937,printed dress details,69.9,black/orange,short dress with a round neck and long sleeves. featuring elastic at the waist and cuffs. buttoned teardrop opening at the back.,dresses,zara
938,mid rise skinny jeans details,45.9,navy blue,"mid waist jeans with stretch fabric, a five pocket design and zip and metal top button fastening. ",jeans,zara
939,poplin jumpsuit details,89.9,pink,"jumpsuit with a surplice neckline, long sleeves, front patch pockets and elastic cuffed hems. fastening with an invisible zip and button.",dresses,zara
940,voluminous jacquard dress details,89.9,black,"dress with a round neckline, puff sleeves falling below the elbow, in seam side pockets, pleated detail, asymmetric hem and a buttoned opening at the back.",dresses,zara
941,belted playsuit details,89.9,ivory,"playsuit featuring a surplice neckline, short sleeves, a contrast belt, decorative front buttons, front pockets and back fastening with invisible zip and buttoned opening. ",dresses,zara
942,floral organza top details,59.9,vanilla,"semi sheer round neck top with long sleeves. featuring a ruffle detail, contrast faux pearl and floral embroidered appliqués and covered button fastening at the back.",tops,zara
943,dotted mesh dress details,89.9,black,"midi dress with a round neckline and short sleeves. featuring pleated detail, lining and a polo style placket on the front with concealed buttons.",dresses,zara
944,hooded down puffer jacket with a fuzzy trim details,139.0,mustard,"fitted down puffer jacket with feather and down filling. featuring a high collar, a detachable hood with a fuzzy trim, long sleeves with elastic cuffs, front zip pockets, fuzzy lining and a metal zip up front.",outerwear,zara
945,lace dress details,59.9,black,"semi sheer dress featuring a wide neckline, short sleeves with elastic trim, lining and a ruffled hem.",dresses,zara
946,poplin blouse with pleats details,89.9,beige,"v neck blouse with long voluminous sleeves and wide cuffs. featuring pleats on the front and back, a tailored hem detail and snap button fastening at the front. ",tops,zara
947,printed piped shirt details,59.9,brown,"flowing collared shirt with long sleeves. featuring a patch pocket on the front, side vents at the hem and contrast trims. button up front.",tops,zara
948,satin dress with belt details,89.9,strawberry,"flowing dress with a v neckline and short sleeves. featuring front pockets, an asymmetric hem and a tie belt in matching fabric. ",dresses,zara
949,pleated skirt with print details,69.9,black / white,flowing a line skirt with a pleated fabric detail and in seam side zip fastening. ,skirts,zara
950,oversized shirt with pockets details,59.9,oyster white,"oversized long sleeve collared shirt featuring a front patch pockets with flap, dart detailing on the sleeves and back and a button up front.",tops,zara
951,houndstooth skirt with belt details,119.0,multicoloured,"skirt with front pockets, front pleats, contrast belt appliqué and front button fastening. ",outerwear,zara
952,printed ruffled shirt details,59.9,multicoloured,flowing shirt with a high neck and long sleeves. featuring matching ruffle trims and a button up front.,tops,zara
953,high waist skinny jeans details,45.9,anthracite grey,high waist jeans with elastic side tabs and five pockets. featuring a front and zip and metal button fastening. ,jeans,zara
954,cropped denim jacket details,69.9,blue,cropped jacket with a shirt collar and long sleeves. featuring front patch pockets and metal button fastening in the front.,outerwear,zara
955,geometric print trousers details,69.9,ecru,high waist trousers with a wide leg fit and invisible side zip fastening.,bottoms,zara
956,high neck sweater details,49.9,burgundy,long sleeve knit sweater with a high neck.,outerwear,zara
957,metallic effect dress details,69.9,black / silver,fitted sleeveless knit dress with a high neck. ,outerwear,zara
958,sweater with bows details,69.9,beige,round neck sweater with long sleeves and contrast bow appliqués. ,outerwear,zara
959,top with cutwork embroidery details,49.9,red,"sleeveless round neck top with ruffle trims on the armholes. featuring matching cutwork embroidery, a flared hem and a tied opening in the back.",tops,zara
960,wide leg trousers with pleats details,89.9,dark grey,"high waist trousers in a wool blend. featuring front pockets, back welt pockets, front zip fastening, inside button and metal hook.",bottoms,zara
961,loose fitting darted trousers details,69.9,camel,"high waist trousers with an elastic waist in the back. featuring pleats on the front, front pockets, double welt back pockets and zip, inside button and metal hook fastening in the front.",outerwear,zara
962,coat with faux fur collar details,199.0,black,"coat made of a wool blend featuring a lapel collar with removable fuzzy trim, long sleeves, in seam side pockets and a belt in the same fabric. ",outerwear,zara
963,pleated shirt dress details,89.9,duck green,"long loose fitting collared dress with long sleeves, pleat details, lining and a button up front.",dresses,zara
964,polka dot top details,45.9,red / black,crop top with a v neckline and short sleeves. featuring a crossed front with gathering and an elastic waist. ,tops,zara
965,z1975 mid waist ripped skinny jeans details,59.9,dark blue,"faded mid waist skinny jeans featuring a five pocket design, ripped detailing on the front, frayed hems and zip fly and metal top button fastening. ",jeans,zara
966,ruffled top details,59.9,oyster white,long sleeve top with a round neckline. featuring ruffle trims and a buttoned opening at the back.,tops,zara
967,textured cardigan with bejewelled buttons details,59.9,black,"knit cardigan featuring a round neckline, long sleeves and front fastening with gem buttons. ",outerwear,zara
968,denim midi skirt details,45.9,light blue,high waist skirt with side pockets and patch pockets in the back. featuring a front slit detail and zip fly and top button fastening.,skirts,zara
969,leggings with gold buttons details,45.9,black,mid waist leggings with an elastic waistband. featuring decorative metal buttons on the front. ,bottoms,zara
970,oversized cable knit sweater details,69.9,purple,long sleeve knit sweater with a round neckline and ribbed trims.,outerwear,zara
971,frilly shirt details,59.9,sky blue,round neck shirt with long sleeves and elasticated cuffs. featuring matching ruffle trims and button fastening at the front. ,tops,zara
972,shirt with gold buttons details,59.9,white,"collared shirt with long sleeves. featuring a front patch pocket, side vents at the hem and a button up front with contrast buttons.",tops,zara
973,neon high neck sweater details,45.9,neon pink,cropped sweater with a high neck and long sleeves. ,outerwear,zara
974,cropped jacket with pockets details,59.9,khaki,cropped jacket with a shirt collar and long sleeves. featuring front patch pockets with flaps and front button fastening hidden by a placket. ,outerwear,zara
975,combined cropped sweater details,69.9,black,knit sweater with a round neckline and long sleeves. featuring combined fabric and lace appliqué.,outerwear,zara
976,special edition sequinned mini dress details,119.0,golden,dress with a round neckline and long puff sleeves. featuring contrast sequin appliqués and invisible zip fastening on the back. ,outerwear,zara
977,snow white © disney t shirt details,39.9,white,short sleeve t shirt with a round neckline. featuring a snow white © disney print on the front.,tops,zara
978,loose fitting belted trench coat details,119.0,camel,"trench coat with a lapel collar and long sleeves. featuring front welt pockets, flap on the back with button, a belt in the same fabric and a back vent. ",outerwear,zara
979,ruffled shirt with contrast trims details,49.9,white,"flowing collared shirt with long sleeves. featuring ruffles on the chest with contrast trims, side vents and a button up front hidden by a placket. ",tops,zara
980,jacquard dress details,69.9,black,"short dress with a surplice neckline, long sleeves, front flap pockets, a ruffled hem and double breasted button fastening.",dresses,zara
981,open knit t shirt details,39.9,white,short sleeve top with a round neckline and matching pointelle detail.,tops,zara
982,shirt dress with belt details,89.9,sky blue,"short sleeve dress with a johnny collar. featuring a contrast braided belt, an elastic waistband, defined seams and ruffles at the hem and contrast button fastening down the front.",dresses,zara
983,long flowing coat details,89.9,black,long sleeve coat with a lapel collar. featuring front flap pockets and single button fastening in the front.,outerwear,zara
984,faux suede jogger trousers details,69.9,khaki,"high waist trousers with an elastic waist and adjustable drawstrings. featuring front pockets, side patch pockets and cuffed elastic hems.",bottoms,zara
985,satin finish polka dot top details,45.9,multicoloured,cowl neck top with thin straps.,tops,zara
986,check blazer details,119.0,brown,"blazer featuring a lapel collar, long sleeves with pronounced shoulders, front flap pockets, a back vent and double breasted button fastening.",outerwear,zara
987,z1975 wide leg jeans details,69.9,dark blue,faded high waist straight leg jeans with a five pocket design and zip fly and metal top button fastening. ,jeans,zara
988,belted trousers details,69.9,camel,"high waist trousers with front pockets and false rear welt pockets. featuring a belt in matching fabric with covered buckle and front fastening with metal hook, inside button and zip. ",bottoms,zara
989,cardigan with gem appliqué details,69.9,burgundy,"knit cardigan featuring a round neckline, long sleeves, gem appliqué on the front and front fastening with gem buttons. ",outerwear,zara
990,coat with pockets details,119.0,oyster white,round neck coat with long sleeves. featuring front patch pockets and zip up fastening.,outerwear,zara
991,faded effect t shirt with slogan details,19.9,khaki,short sleeve t shirt with a round neckline and a slogan on the front.,tops,zara
992,balloon sleeve sweatshirt details,45.9,pink,round neck sweatshirt featuring long puff sleeves with elasticated cuffs and elastic waist detail. ,outerwear,zara
993,combined pleated jumpsuit details,89.9,black,combined sleeveless v neck jumpsuit. side pockets. featuring matching fabric detail and back in seam zip fastening.,dresses,zara
994,printed flowing top details,29.9,pink / white,halter top with an asymmetric hem. ,tops,zara
995,dotted mesh top details,45.9,white,semi sheer t shirt with a round neckline and short sleeves. featuring elastic side tabs.,tops,zara
996,open knit skirt details,49.9,mustard,knit skirt with elastic waistband.,skirts,zara
997,belted trousers details,69.9,petrol blue,"high waist trousers with an elastic waist at the back. featuring side pockets, turn up hems, contrast belt and invisible side zip fastening.",bottoms,zara
998,padded solarball® jacket with belt details,139.0,lilac,"jacket with a high collar, hood and long sleeves. featuring front welt pockets, matching belt, and zip and metal snap button front fastening.",outerwear,zara
999,knit jumpsuit with pockets details,69.9,black,"knit culotte jumpsuit featuring a round neckline, straps and front patch pockets.",dresses,zara
1000,printed dress details,89.9,red,"flowing, round neck dress with sleeves falling below the elbow. featuring a ruffled hem and a buttoned opening in the back. ",dresses,zara
1001,animal print jacquard cardigan details,69.9,leopard,knit v neck cardigan with long full sleeves and button fastening at the front. ,outerwear,zara
1002,details,159.0,ecru,details,dresses,zara
1003,bermuda shorts with ruffles details,45.9,black,high waist bermuda shorts with front ruffle appliqué in the same material and invisible side zip fastening. ,skirts,zara
1004,poplin blouse with bow details,69.9,black,"long sleeve blouse with a high neck. featuring ruffle trims on the front, a matching bow appliqué and invisible back zip fastening. ",tops,zara
1005,hooded puffer coat details,119.0,khaki,"puffer coat with a high neck, hood and long sleeves. featuring front welt pockets and metal snap button double breasted fastening at the front.",outerwear,zara
